"","TehsilNo","Zone name","District name","Tehsil name","Village name","State","Crop","Year","Zone No.","Cultivator No.","Ha-months in ground (Ha.)","Parcel Plot Season (PPS)","Main Product (Qtls.)","Crop Area (Ha.)","Main Product (Rs.)","By Product (Rs.)","Family Labour (Hrs.)","Family Labour (Rs.)","Attached Labour (Hrs.)","Attached Labour (Rs.)","Casual Labour (Hrs.)","Casual Labour (Rs.)","Hired Animal Labour (Hrs.)","Hired Animal Labour (Rs.)","Owned Animal Labour (Hrs.)","Owned Animal Labour (Rs.)","Hired Machine (Hrs.)","Hired Machine (Rs.)","Own Machine (Hrs.)","Own Machine (Rs.)","Hired Irrigation Machine (Hrs.)","Hired Irrigation Machine (Rs.)","Owned Irrigation Machine (Hrs.)","Owned Irrigation Machine (Rs.)","Canal and Other Irrigation Charges (Rs)","Seed Qty. (Kg.)","Seed Value (Rs.)","Fertiliser (N) (Kg.)","Fertiliser (N) (Rs.)","Fertiliser (P) (Kg.)","Fertiliser (P) (Rs.)","Fertiliser (K) (Kg.)","Fertiliser (K) (Rs.)","Other Fertiliser (Kg.)","Other Fertiliser (Rs.)","Total Fertiliser (Kg.)","Total Fertiliser (Rs.)","Manure (Qtl.)","Manure (Rs.)","Insecticides (Rs.)","Crop Insurance (Rs.)","Payment to Contractor (Rs.)","Miscelaneous Cost (Rs.)","Land Revenue (Rs.)","Rent Paid for Leased in Land (Rs.)","Imputed Rent (Rs.)","Total Depreciation (Rs.)","Total Capital (Rs.)","Sample No. of Growers in size group","Total Number of Growers in size group","Cluster Factor/Weight","Area of all selected crops in Village (Ha.)","No. of Villages in Tehsil","Area of Crop in Zone (Ha.)","Production of Crop in Zone (Qtl.)","No. of Tehsils in Zone","Sample Tehsils in Zone","Area of all selected crops in Zone (Ha.)","Interest on working capital rate(%)","Interest on fixed capital rate(%)","Minimum Rent (%age of GVO)","Maximum Rent (%age of GVO)","Sample Zone in State","Sample Clusters in State","Tenure","Variety"
"784",17,"I","Vaishali","Mahua","Narsingpur Baghi","Bihar","Wheat","2017-18",1,8,1.55,2012,8.92,0.31,12488,2525,27,680.29,0,0,78,1950,0,0,0,0,1.67,1500,0,0,10.92,1310,0,0,0,32,960,13.68,362.08,13.8,765.92,7.2,216,0,0,34.68,1344,0,0,0,0,NA,0,28.13,0,5254.55,1198,32561,14,8,1.75,113.98,573,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"785",17,"I","Vaishali","Mahua","Narsingpur Baghi","Bihar","Wheat","2017-18",1,9,2,5012,14.86,0.5,20804,4175,30,755.88,0,0,135.36,3370,0,0,0,0,4,3600,0,0,0,0,18.83,1268.05,0,52,4560,22.72,612.06,21.62,1199.94,12.6,378,0,0,56.94,2190,0,0,0,0,NA,0,16.88,0,7500,759,51210,14,8,1.75,113.98,573,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"786",17,"I","Vaishali","Mahua","Narsingpur Baghi","Bihar","Wheat","2017-18",1,10,1,2012,6.12,0.2,8568,190,35,881.85,0,0,37.36,1920,0,0,0,0,0,0,1.6,436.83,0,0,7.5,505.06,0,20,600,13.72,225.39,9.2,510.61,5.4,162,0,0,28.32,898,0,0,0,0,NA,0,30.68,0,3065.3,1081,90165,14,8,1.75,113.98,573,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"787",17,"I","Vaishali","Mahua","Narsingpur Baghi","Bihar","Wheat","2017-18",1,10,1.5,4012,9.18,0.3,12852,2825,36,907.05,0,0,68,1700,0,0,0,0,0,0,2.4,655.25,0,0,10.92,735.37,0,30,900,21.5,330.08,13.8,765.92,6,180,0,0,41.3,1276,0,0,0,0,NA,0,18.75,0,5000,1081,90165,14,8,1.75,113.98,573,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"788",17,"I","Vaishali","Mahua","Narsingpur Baghi","Bihar","Wheat","2017-18",1,1,1,4012,6.09,0.2,8526,1875,44,1108.62,0,0,29.36,720,0,0,0,0,1.6,1440,0,0,0,0,7.42,499.68,0,20,600,9.12,241.39,9.2,510.61,4.8,144,0,0,23.12,896,0,0,0,0,NA,0,18.75,0,3333.33,1129,41335,193,2,96.5,113.98,573,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"789",17,"I","Vaishali","Mahua","Narsingpur Baghi","Bihar","Paddy","2017-18",1,4,1.6,4011,13.44,0.4,14784,3550,111,2796.74,0,0,180,5300,0,0,0,0,2.17,1950,0,0,15.17,1820,0,0,0,6,1650,35.72,594.77,18.4,1021.23,12,360,0,0,66.12,1976,0,0,0,0,NA,0,15,0,5333.33,1194,33078,14,8,1.75,113.98,573,1266706,2411152,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Hybrid"
"790",17,"I","Vaishali","Mahua","Narsingpur Baghi","Bihar","Wheat","2017-18",1,6,1.5,4012,9.18,0.3,12852,2812,53,1335.38,0,0,46.72,1140,0,0,0,0,2.4,2160,0,0,10.92,1310,0,0,0,31,930,21.5,354.08,13.8,765.92,6,180,0,0,41.3,1300,0,0,0,0,NA,0,18.75,0,5482.4,1976,31302,14,8,1.75,113.98,573,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"791",17,"I","Vaishali","Mahua","Narsingpur Baghi","Bihar","Wheat","2017-18",1,6,2,5012,12.03,0.4,16824,3350,26,655.09,0,0,113.08,2785,0,0,0,0,3.2,2880,0,0,15.75,1890,0,0,0,42,1260,26.44,435.36,17.02,944.64,10.8,324,0,0,54.26,1704,0,0,0,0,NA,0,18.75,0,6666.67,1976,31302,14,8,1.75,113.98,573,945265,2730864,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Improved"
"792",17,"I","Vaishali","Mahua","Narsingpur Baghi","Bihar","Paddy","2017-18",1,1,0.8,3011,6.97,0.2,7667,1850,69,1738.51,0,0,76,1900,0,0,0,0,1.08,975,0,0,0,0,7,471.39,0,3,825,18.78,313.39,9.2,510.61,6,180,0,0,33.98,1004,0,0,0,0,NA,0,15,0,2666.67,1129,41335,193,2,96.5,113.98,573,1266706,2411152,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Hybrid"
"793",17,"I","Vaishali","Mahua","Narsingpur Baghi","Bihar","Paddy","2017-18",1,1,0.8,4011,6.95,0.2,7645,1850,68,1713.32,0,0,80,2000,0,0,0,0,1,900,0,0,0,0,7.5,505.06,0,3,825,18.78,313.39,9.2,510.61,6,180,0,0,33.98,1004,0,0,0,0,NA,0,15,0,2666.67,1129,41335,193,2,96.5,113.98,573,1266706,2411152,42,19,2984435,12.5,10,0,35,4,45,"Owned & managed","Hybrid"
