"","ID","population_density","wc2.1_30s_elev","sand_0-5cm","nitrogen_0-5cm","soc_5-15cm"
"1087",1087,1322.22570800781,71,28,1.39999997615814,9.30000019073486
"1088",1088,1198.49841308594,70,30,1.39999997615814,8
"1089",1089,1186.96057128906,73,28,1.5,13.6999998092651
"1090",1090,1474.56494140625,85,31,1.39999997615814,12.1000003814697
"1091",1091,1313.68310546875,69,29,1.70000004768372,13.6999998092651
"1092",1092,1313.68310546875,69,29,1.70000004768372,13.8000001907349
"1093",1093,1337.41320800781,77,27,1.70000004768372,10.3999996185303
"1094",1094,1337.41320800781,77,27,1.70000004768372,10.6000003814697
"1095",1095,1408.20886230469,77,27,1.60000002384186,9.39999961853027
"1096",1096,1199.61157226562,86,25,1.60000002384186,8.80000019073486
"1097",1097,1026.65600585938,61,26,1.39999997615814,12.6000003814697
"1098",1098,1322.22570800781,71,28,1.39999997615814,9.30000019073486
"1099",1099,1322.22570800781,71,28,1.39999997615814,9.10000038146973
"1100",1100,1545.08544921875,82,32,1.79999995231628,14.1999998092651
"1101",1101,2189.67822265625,81,30,1.70000004768372,13.3000001907349
"1102",1102,1387.73303222656,92,29,1.39999997615814,13.3000001907349
"1103",1103,1474.56494140625,86,31,1.29999995231628,11.8000001907349
"1104",1104,1187.69079589844,90,31,1.70000004768372,14.5
"1105",1105,1744.12707519531,65,30,1.39999997615814,14.1000003814697
"1106",1106,1240.47680664062,77,29,1.5,10.8000001907349
"1107",1107,1276.6611328125,86,29,1.79999995231628,15.3000001907349
"1108",1108,1187.69079589844,94,30,1.5,12.3000001907349
"1109",1109,1186.96057128906,73,28,1.5,13.6999998092651
"1110",1110,1313.03002929688,87,29,1.79999995231628,11.8999996185303
"1111",1111,1664.66052246094,95,28,1.70000004768372,11.1999998092651
"1112",1112,1864.36181640625,66,33,1.29999995231628,11.8000001907349
"1113",1113,1237.39880371094,79,31,1.5,12.6999998092651
"1114",1114,539.064331054688,83,27,1.79999995231628,10.6000003814697
"1115",1115,971.929138183594,79,26,1.79999995231628,11.3999996185303
"1116",1116,412.582061767578,98,34,1.29999995231628,13.8999996185303
"1117",1117,1664.66052246094,92,28,1.79999995231628,13.1999998092651
"1118",1118,1242.0634765625,81,27,1.89999997615814,17.3999996185303
"1119",1119,1242.0634765625,81,27,1.89999997615814,17.3999996185303
"1120",1120,1242.0634765625,81,27,1.89999997615814,17.3999996185303
"1121",1121,1676.12390136719,84,33,1.29999995231628,14
"1122",1122,1015.69976806641,74,27,1.60000002384186,12.6999998092651
"1123",1123,1011.11810302734,71,26,1.60000002384186,7.69999980926514
"1124",1124,918.780395507812,62,27,1.29999995231628,8.69999980926514
"1125",1125,1337.41320800781,77,27,1.70000004768372,10.3999996185303
"1126",1126,1337.41320800781,77,27,1.70000004768372,10.6000003814697
"1127",1127,1337.41320800781,77,27,1.70000004768372,10.6000003814697
"1128",1128,1242.0634765625,79,27,1.60000002384186,15.3000001907349
"1129",1129,2110.107421875,76,27,1.60000002384186,8.30000019073486
"1130",1130,896.088256835938,67,26,1.39999997615814,10
"1131",1131,1159.03515625,57,30,1.29999995231628,14.6000003814697
"1132",1132,1242.0634765625,79,27,1.60000002384186,15.3000001907349
"1133",1133,1242.0634765625,79,27,1.60000002384186,15.3000001907349
"1134",1134,1408.20886230469,77,28,1.5,10.8999996185303
"1135",1135,1408.20886230469,77,28,1.5,12.3000001907349
"1136",1136,1015.69976806641,75,27,1.60000002384186,12.3999996185303
"1137",1137,1040.42004394531,60,26,1.5,8
"1138",1138,1040.42004394531,61,26,1.5,8.60000038146973
"1139",1139,1040.42004394531,60,26,1.5,8
"1140",1140,1040.42004394531,64,26,1.5,7.40000009536743
"1141",1141,1313.03002929688,88,27,1.79999995231628,14.1999998092651
"1142",1142,2110.107421875,78,28,1.60000002384186,10.8999996185303
"1143",1143,1040.42004394531,64,26,1.5,7.40000009536743
"1144",1144,762.295532226562,71,28,1.60000002384186,13.3999996185303
"1145",1145,718.257019042969,83,27,1.70000004768372,11.1999998092651
"1146",1146,1151.49340820312,63,27,1.29999995231628,8.69999980926514
"1147",1147,4601.44677734375,54,29,1.60000002384186,14.1999998092651
"1148",1148,4601.44677734375,54,29,1.60000002384186,14.3000001907349
"1149",1149,4601.44677734375,54,29,1.60000002384186,14.1999998092651
"1150",1150,1942.55578613281,67,30,1.39999997615814,13
"1151",1151,2125.232421875,66,31,1.39999997615814,12.5
"1152",1152,2264.44506835938,74,29,1.5,16.1000003814697
"1153",1153,2264.44506835938,75,29,1.5,13.8000001907349
"1154",1154,1878.94177246094,72,28,1.60000002384186,14
"1155",1155,1340.1416015625,76,30,1.39999997615814,13.8999996185303
"1156",1156,1340.1416015625,76,30,1.39999997615814,13.8999996185303
"1157",1157,1444.96252441406,65,32,1.5,13.1000003814697
"1158",1158,1747.70385742188,66,32,1.5,14.6000003814697
"1159",1159,605.001953125,96,33,1.29999995231628,14.1999998092651
"1160",1160,1572.70642089844,83,34,1.39999997615814,13.6000003814697
"1161",1161,1748.64880371094,81,31,1.29999995231628,12.3000001907349
"1162",1162,1748.64880371094,81,31,1.29999995231628,12.3000001907349
"1163",1163,1748.64880371094,81,31,1.29999995231628,12.3000001907349
"1164",1164,1748.64880371094,82,31,1.20000004768372,13
"1165",1165,1676.12390136719,84,33,1.29999995231628,14
"1166",1166,1278.79296875,84,33,1.39999997615814,13.5
"1167",1167,1096.64196777344,85,33,1.29999995231628,13.6000003814697
"1168",1168,1676.12390136719,82,33,1.29999995231628,13
"1169",1169,1676.12390136719,82,33,1.20000004768372,13
"1170",1170,1748.64880371094,85,31,1.5,14.8999996185303
"1171",1171,1748.64880371094,83,30,1.5,15.1000003814697
"1172",1172,1748.64880371094,83,30,1.5,15.1000003814697
"1173",1173,1748.64880371094,83,30,1.5,15.1000003814697
"1174",1174,1748.64880371094,83,30,1.5,15.1000003814697
"1175",1175,1572.70642089844,81,34,1.39999997615814,12.1000003814697
"1176",1176,1360.09436035156,85,37,1.39999997615814,12.1000003814697
"1177",1177,1718.74230957031,61,29,1.39999997615814,12
"1178",1178,539.064331054688,86,28,1.79999995231628,12.3999996185303
"1179",1179,4601.44677734375,54,29,1.60000002384186,14.3000001907349
"1180",1180,4601.44677734375,55,29,1.70000004768372,14.6000003814697
"1181",1181,1747.70385742188,66,32,1.5,14.6000003814697
"1182",1182,605.001953125,86,36,1.39999997615814,13
"1183",1183,1590.83471679688,74,30,1.5,14
"1184",1184,1151.49340820312,63,27,1.29999995231628,8.69999980926514
"1185",1185,1022.55334472656,103,29,1.60000002384186,15.3999996185303
"1186",1186,2326.05151367188,49,29,1.89999997615814,18.5
"1187",1187,414.133514404297,137,23,1.5,9.69999980926514
"1188",1188,1737.85278320312,67,32,1.39999997615814,12.6000003814697
"1189",1189,1419.42395019531,56,31,1.89999997615814,14.6000003814697
"1190",1190,1657.27868652344,50,32,1.70000004768372,13
"1191",1191,1028.37341308594,49,31,1.5,15.3000001907349
"1192",1192,1188.10974121094,64,34,1.39999997615814,13.3000001907349
"1193",1193,1412.5693359375,65,33,1.29999995231628,14.5
"1194",1194,904.85205078125,78,45,1.29999995231628,13.1000003814697
"1195",1195,904.85205078125,78,45,1.29999995231628,13.1000003814697
"1196",1196,1188.10974121094,64,34,1.39999997615814,13.3000001907349
"1197",1197,1412.5693359375,65,33,1.29999995231628,14.5
"1198",1198,790.931640625,78,44,1.29999995231628,11.8000001907349
"1199",1199,790.931640625,78,44,1.29999995231628,11.8000001907349
"1200",1200,790.931640625,78,44,1.29999995231628,11.8000001907349
"1201",1201,1412.5693359375,63,32,1.39999997615814,15.6999998092651
"1202",1202,1175.27648925781,79,45,1.39999997615814,15.1000003814697
"1203",1203,1053.94702148438,65,32,1.5,13.3999996185303
"1204",1204,1140.12536621094,60,32,1.60000002384186,14.8999996185303
"1205",1205,1585.27038574219,55,31,1.89999997615814,14.1999998092651
"1206",1206,1585.27038574219,55,31,1.89999997615814,14.1999998092651
"1207",1207,1140.12536621094,60,32,1.60000002384186,14.8999996185303
"1208",1208,790.931640625,78,44,1.29999995231628,11.8000001907349
"1209",1209,904.85205078125,78,45,1.29999995231628,13.1000003814697
"1210",1210,977.462097167969,69,37,1.39999997615814,13.8999996185303
"1211",1211,1175.27648925781,78,45,1.39999997615814,14.6999998092651
"1212",1212,1160.39697265625,58,30,1.5,14.3999996185303
"1213",1213,1101.91882324219,44,31,2,14.5
"1214",1214,977.462097167969,70,38,1.39999997615814,12.1000003814697
"1215",1215,1140.12536621094,60,32,1.60000002384186,14.8999996185303
"1216",1216,904.85205078125,78,45,1.29999995231628,13.1000003814697
"1217",1217,790.931640625,78,44,1.29999995231628,11.8000001907349
"1218",1218,904.85205078125,78,45,1.29999995231628,13.1000003814697
"1219",1219,1475.19885253906,48,31,1.89999997615814,14.1000003814697
"1220",1220,1028.37341308594,49,32,1.5,15.6000003814697
"1221",1221,1556.60290527344,50,30,1.5,12.6999998092651
"1222",1222,1556.60290527344,50,31,1.60000002384186,12.3999996185303
"1223",1223,1419.42395019531,55,32,1.70000004768372,13.3000001907349
"1224",1224,1022.92889404297,56,31,1.5,15.5
